Query,Key Match Count,Value Match Count,Gemma Unique Keys,QMeans Unique Keys,Gemma Unique Values,QMeans Unique Values,Key Match %,Value Match %,Gemma: Value - Keys,QMeans: Value - Keys,Matched Keys,Matched Values,Gemma Only Keys,QMeans Only Keys
motor-armature,0,1,4,1,1,1,0.0%,100.0%,Motor-Armature - type | motor_type | product_type | device_type,motor-armature - part type,,motor-armature,device type | motor type | product type | type,part type
motorized pulley drum motor,0,0,9,1,3,1,0.0%,0.0%,Motorized - power_source | power_supply | power_type |||| Semi-Automatic - automation_grade | operation_mode | working_mode |||| Drum - number_of_poles | no_of_poles | poles,drum motor - motor type,,,automation grade | no of poles | number of poles | operation mode | poles | power source | power supply | power type | working mode,motor type
my cool star,0,0,4,1,1,1,0.0%,0.0%,My Cool Star - brand | company | manufacturer | make,star - shape,,,brand | company | make | manufacturer,shape
nema 17 0.9 degree,0,0,6,0,2,0,0.0%,0.0%,0.9 Degree - number_of_poles | no_of_poles | poles |||| NEMA 17 - ambient_temperature | operating_temperature | temperature_range,,,,ambient temperature | no of poles | number of poles | operating temperature | poles | temperature range,
nema 17 0.9 degree 22mm lenth,1,2,13,2,4,2,7.7%,50.0%,22mm - diameter | shaft_diameter | inner_diameter |||| NEMA 17 - model_number | model_name | model | model_no |||| 0.9 Degree - accuracy | precision | repeatability |||| Lenth - length | dimension | size,22mm - size |||| nema 17 - model name/number,size,22mm | nema 17,accuracy | diameter | dimension | inner diameter | length | model | model name | model no | model number | precision | repeatability | shaft diameter,model name/number
ng80,0,0,4,0,1,0,0.0%,0.0%,NG80 - model_number | model_name | model | model_no,,,,model | model name | model no | model number,
noortepar manufacturing plant,0,0,8,0,2,0,0.0%,0.0%,Noortepar - brand | company | manufacturer | make |||| Manufacturing Plant - usage_application | application | usage | suitable_for,,,,application | brand | company | make | manufacturer | suitable for | usage | usage application,
nord gearbox spares,1,2,8,2,2,2,12.5%,100.0%,Nord - brand | company | manufacturer | make |||| Gearbox Spares - usage_application | application | usage | suitable_for,gearbox spares - product |||| nord - brand,brand,gearbox spares | nord,application | company | make | manufacturer | suitable for | usage | usage application,product
oil-filled 3 hp 25 single phase motor starter,2,2,16,3,4,3,12.5%,50.0%,3 HP - power | wattage | motor_power | power_rating |||| Single Phase - phase | phase_type | number_of_phase | input_phase |||| 25 - speed | rpm | motor_speed | rated_speed |||| Oil-Filled - type | motor_type | product_type | device_type,3 hp - power |||| motor starter - usage |||| single phase - phase,phase | power,3 hp | single phase,device type | input phase | motor power | motor speed | motor type | number of phase | phase type | power rating | product type | rated speed | rpm | speed | type | wattage,usage
ola motor,1,1,4,2,1,2,25.0%,100.0%,OLA - brand | company | manufacturer | make,motor - part type |||| ola - brand,brand,ola,company | make | manufacturer,part type
panasonic gar box,1,1,8,2,2,2,12.5%,50.0%,Panasonic - brand | company | manufacturer | make |||| Gar Box - type | product_type | device_type | product_category,box - packaging type |||| panasonic - brand,brand,panasonic,company | device type | make | manufacturer | product category | product type | type,packaging type
panasonic gear box MY9G30B,1,2,8,2,2,2,12.5%,100.0%,Panasonic - brand | company | manufacturer | make |||| MY9G30B - model_number | model_name | model | model_no,my9g30b - model name/number |||| panasonic - brand,brand,my9g30b | panasonic,company | make | manufacturer | model | model name | model no | model number,model name/number
panasonic-ac-servo-motor,0,0,8,0,2,0,0.0%,0.0%,Panasonic - brand | type | company | motor_type | manufacturer | product_type | make | device_type,,,,brand | company | device type | make | manufacturer | motor type | product type | type,
parallel shaft helical geard motor,1,1,9,2,2,2,11.1%,50.0%,Parallel Shaft - number_of_poles | no_of_poles | poles |||| Helical - type | motor_type | product_type |||| Parallel Shaft - usage_application | application | usage,helical - motor type |||| parallel - orientation,motor type,helical,application | no of poles | number of poles | poles | product type | type | usage | usage application,orientation
parker hydraulic motor,2,2,8,2,2,2,25.0%,100.0%,Parker - brand | company | manufacturer | make |||| Hydraulic Motor - type | motor_type | product_type | device_type,hydraulic motor - type |||| parker - brand,brand | type,hydraulic motor | parker,company | device type | make | manufacturer | motor type | product type,
partition frames for motor,1,2,8,2,2,2,12.5%,100.0%,Motor - usage_application | application | suitable_for | usage |||| Partition Frames - material | body_material | material_type | casing_material,motor - usage |||| partition frames - motor part type,usage,motor | partition frames,application | body material | casing material | material | material type | suitable for | usage application,motor part type
pbl-right-angled-helical-bevel-geared-motor,0,0,8,0,2,0,0.0%,0.0%,PBL - brand | company | manufacturer | make |||| Right-Angled Helical-Bevel Geared Motor - type | motor_type | product_type | device_type,,,,brand | company | device type | make | manufacturer | motor type | product type | type,
peco pk1 3 phase dol motor starter,3,3,17,3,5,3,17.6%,60.0%,Peco - brand | company | manufacturer | make |||| PK1 - model_number | model_name | model | model_no |||| 3 Phase - number_of_phase | phase | number_of_phase | input_phase |||| DOL - starter_type | starting_method | starter |||| F - insulation_class | insulation_type | winding_insulation,3 phase - phase |||| dol - starter type |||| peco - brand,brand | phase | starter type,3 phase | dol | peco,company | input phase | insulation class | insulation type | make | manufacturer | model | model name | model no | model number | number of phase | starter | starting method | winding insulation,
pmdc gear motor 0-25-hp 25-200rpm 12-180volt,0,0,0,4,0,4,N/A,N/A,,0-25-hp - power |||| 12-180volt - voltage |||| 25-200rpm - speed |||| pmdc gear motor - motor type,,,,motor type | power | speed | voltage
polisher-motor,0,1,4,1,1,1,0.0%,100.0%,Polisher-Motor - model_number | model_name | model | model_no,polisher-motor - type of power tool,,polisher-motor,model | model name | model no | model number,type of power tool
power tool cm4,1,1,6,1,2,1,16.7%,50.0%,Power Tool - power_source | power_supply | power_type |||| CM4 - model_number | model_name | model,cm4 - model,model,cm4,model name | model number | power source | power supply | power type,
power tool near delhi cm4,0,0,11,0,3,0,0.0%,0.0%,CM4 - model_number | model_name | model | model_no |||| Near Delhi - location | area | location_type |||| Power Tool - usage_application | application | usage | suitable_for,,,,application | area | location | location type | model | model name | model no | model number | suitable for | usage | usage application,
power-tool-carbon-brush,0,0,7,0,2,0,0.0%,0.0%,Power-Tool - power_source | power_supply | power_type |||| Carbon - material | body_material | material_type | casing_material,,,,body material | casing material | material | material type | power source | power supply | power type,
pump-starter,0,0,4,0,1,0,0.0%,0.0%,Pump-Starter - starter_type | starting_method | starter | type_of_starter,,,,starter | starter type | starting method | type of starter,
push button shutter motor,1,1,7,2,2,2,14.3%,50.0%,Push Button - power_source | power_supply | power_type |||| Shutter Motor - usage_application | application | usage | suitable_for,push button - switch type |||| shutter - usage,usage,push button,application | power source | power supply | power type | suitable for | usage application,switch type
reverse forward 3 phase 20 3 hp starters,1,1,12,2,3,2,8.3%,33.3%,3 Phase - phase | phase_type | number_of_phase | input_phase |||| 20 3 HP - capacity | load_capacity | weight_capacity | lifting_capacity |||| Reverse Forward - speed | rpm | motor_speed | rated_speed,3 phase - phase |||| hp - power,phase,3 phase,capacity | input phase | lifting capacity | load capacity | motor speed | number of phase | phase type | rated speed | rpm | speed | weight capacity,power
rexroth servo drive,1,1,8,1,2,1,12.5%,50.0%,REXROTH - brand | company | manufacturer | make |||| Servo Drive - type | motor_type | product_type | device_type,rexroth - brand,brand,rexroth,company | device type | make | manufacturer | motor type | product type | type,
rotex positioner,1,1,4,2,1,2,25.0%,100.0%,ROTEX - brand | company | manufacturer | make,positioner - type |||| rotex - brand,brand,rotex,company | make | manufacturer,type
rs 555 high speed dc motor 5000rpm,1,2,8,3,2,3,12.5%,100.0%,5000rpm - speed | rpm | motor_speed | rated_speed |||| RS 555 - model_number | model_name | model | model_no,5000rpm - speed |||| dc - motor type |||| rs 555 - model name/number,speed,5000rpm | rs 555,model | model name | model no | model number | motor speed | rated speed | rpm,model name/number | motor type
schneider soft starter,1,2,8,2,2,2,12.5%,100.0%,Schneider - brand | company | manufacturer | make |||| Soft Starter - type | product_type | device_type | product_category,schneider - brand |||| soft starter - starter type,brand,schneider | soft starter,company | device type | make | manufacturer | product category | product type | type,starter type
schubert and salzer positioner,0,0,4,1,1,1,0.0%,0.0%,Schubert and Salzer - brand | company | manufacturer | make,positioner - type,,,brand | company | make | manufacturer,type
screed vibrator motor,0,0,15,1,1,1,0.0%,0.0%,screed vibrator motor - power_source | power_supply | power_type | power |||| screed vibrator motor - number_of_poles | no_of_poles | poles |||| screed vibrator motor - usage_application | application | usage | suitable_for |||| screed vibrator motor - brand | company | manufacturer | make,vibrator motor - product,,,application | brand | company | make | manufacturer | no of poles | number of poles | poles | power | power source | power supply | power type | suitable for | usage | usage application,product
seedprod latest version,0,0,8,0,2,0,0.0%,0.0%,SeedProd - brand | model_number | company | model_name | manufacturer | model | make | model_no,,,,brand | company | make | manufacturer | model | model name | model no | model number,
sensor plate,0,0,6,0,2,0,0.0%,0.0%,Plate - type | device_type | product_type |||| Sensor - material | body_material | material_type,,,,body material | device type | material | material type | product type | type,
servo motor .,0,0,4,0,1,0,0.0%,0.0%,Servo Motor - type | motor_type | product_type | device_type,,,,device type | motor type | product type | type,
