"fk_im_spec_master_desc","fk_im_spec_options_desc"
Capacity,"100 - 30 Kg/Hr"
Material To Be Extruded,Rubber
Automation Grade,Semi-Automatic
Frequency,"50 Hz"
Capacity,"55 - 125 ( kg/hr )"
Machine Type,Automatic ABA Two Layer Blown Film Machine
Production Capacity,"28 - 280 ( kg/hr )"
Power Consumption,"48 - 75 ( kw )"
Power Consumption,"146 - 194 ( kw )"
Power Consumption,"146 - 194 ( kw )"
Frequency,"50 Hz"
Voltage,"240 V"
Capacity,"25"
Application,"Cosmetic Packaging,Diapers,Heavy Duty Sacks,Milk/Water Pouch,Lamination,Masking Film etc"
Type,Metal Recycling Plant
Motor Power,"20 HP"
Capacity,"5 (ton/hr)"
Usage/Application,Industrial
Machine Type,Extruder Machine
Type,Fully Automatic
Frequency,"55 Hz"
Capacity,"Jinan Lijiang Automation Equipment Co., Ltd."
Material,APET
Capacity,"1 KG GOLD"
Capacity,"5 kg/hour"
Capacity,"100GRM TO 1KG"
Capacity,"1kg to 3kg"
Usage/Application,Depend on the project
Capacity,Depend on the project
Frequency,"50Hz"
Automation Grade,Manual
Type,Fully Automatic
Brand,K.G Enterprise
Capacity,"55 Kg"
Usage/Application,Extraction of Oxide Sulphide
Frequency,"50 Hz"
Material To Be Extruded,ALUMINIUM
Type,Fully Automatic
Capacity,Excellent
Capacity,"20 kg"
Capacity,"10 kg"
Plastic Processed,Ss Steels 314
Capacity,"1 kg"
Machine Type,Twin Screw Extruder
Capacity,Standard
Capacity,Depend on the Project
Machine Type,Depend on the Project
Machine Type,Fully Automatic
Type Of Testing Machines,Bitumen Test
Production Capacity,"350 kg to 400 kg"
Type,Fully Automatic
Capacity,"500 - 5000 Lits"
Capacity,"20"
Automation Grade,Semi-Automatic
Machine Type,Mini Expeller
Material To Be Extruded,Steel
Plastic Processed,UPVC
Material To Be Extruded,Plastic
Usage/Application,Industrial
Frequency,"50 Hz"
Brand,Vital Force
Type,Fully Automatic
Material To Be Extruded,Plastic
Frequency,"50Hz"
Production Capacity,"5480"
Assays,Electrolyte
Capacity,"50 Kg"
Type,Fully Automatic
Material,Stainless Steel
Capacity,"1500 gm"
Usage/Application,Depend on the Project
No Of Unit To Be Tested,"1"
Material To Be Extruded,Plastic
Material To Be Extruded,Plastic
Usage/Application,Industrial
Capacity,"2KG TO 20KGS"
Usage/Application,Industrial
Machine Type,Extruder Machine
Brand,South India Mat Machineries
Capacity,"5 to 6 kg/hr"
Power Consumption,"1-2 Kw"
Machine Power (kW),More than 100 kW
Capacity,"2Litre"
Brand,Prasad Plast
Frequency,"60 Hz"
Usage/Application,Depend on the Project
Machine Type,Depend on the Project
Usage/Application,Depend on the Project
Machine Type,Depend on the Project
Material,HDPE
Capacity,"15 Kg Per Day"
Capacity,"1 kg to 200 Kg"
Capacity,"3kg"
Brand,Yug
Material,Mild Steel
Capacity,"1kg 10kg"
Brand,Italian model
Plastic Processed,"30,000.00"
Machine Type,Noodle Extruder Machine
Frequency,"50Hz"
Usage/Application,Rice Bran Solvent Extraction Plant
Brand,Kear
Frequency,"60 Hz"
Service Location,All Over India
Metal,Gold
Capacity,"2 Kg"
Capacity,"1kg-100kg"
Material,CARBON STEEL/STAINLESS STEEL
Automation Grade,Automatic
Capacity,"200-400Kg/Hr"
Material To Be Extruded,Plastic
Usage/Application,Industrial
Capacity,"60 to 65 KG/HR"
Brand,Kiran Extrusion
Phase,Three Phase
Plastic Processed,PVC
Screw Design,Conical
Material,Mild Steel
Brand,Neelam
Machine Type,Automatic
Material,Mild Steel
Brand,Rosendahl
Capacity,"100-1000"
Machine Power (kW),upto 40 kW
Type,PP Plastic
Material To Be Extruded,Plastic
Usage/Application,Industrial
Screw Design,Twin screw
Capacity,"10 gram to 20 kg"
Capacity,"500 gram to 50 kg"
Capacity,"500 Ltrs."
Material to be Extruded,Plastic
Capacity,"1000g~1500g"
Brand,Dhruv Fabrotech
Type,Fully Automatic
Frequency,"50Hz"
Capacity,"2300rpm"
Material To Be Extruded,Plastic
Machine Type,AUTOMATIC
Usage/Application,Industrial
Capacity,"1.5 Ltr"
Type Of Testing Machines,soil
Type,Fully Automatic
Capacity,"400 KG TO 450 KG"
Machine Type,SS
Frequency,"50 Hz"
Screw Number,Cr12MoV
Type Of Testing Machines,Bitumen Extractor
Material To Be Extruded,Plastic
Type,Fully Automatic
Material To Be Extruded,Stainless Steel
Frequency,"50 Hz"
Usage/Application,"MULCH FILM , MULCHING SHEET , POND LINER, LDPE TARPAULIN, AND OTHER APPLICATIONS"
Production Capacity,"100 TO 250 KG /HR"
Form,Granules
Capacity,"100 kg/Hr"
Machine Type,Tyre Building Machine
Machine Power (kW),"80 kW"
Frequency,"60 Hz"
Capacity,Standard
Usage/Application,Industrial
Material,Stainless Steel
Brand,Best Engineering
Usage/Application,Industrial
Machine Power (kW),upto 40 kW
Frequency,"50Hz"
Capacity,"1.5kg"
Welding Type,Extrusion
Capacity,"1 Kg"
Machine Type,Extrusion
L/D Ratio,"5:1"
Capacity,Up To 200 Kg
Brand,Noble Engineering
Frequency,"50Hz"
Brand,Hpmc
Machine Power (kW),upto 40 kW
Brand,Infiniti Extrusion Technik
Frequency,"50-60 Hz"
Brand,Normit
Capacity,min 100 kg to 200 Kg
Machine Type,Single screw
Machine Type,Continuous and Batch Type
Capacity,"15 kg/hour"
Frequency,"50Hz"
Machine Power,"30Hp"
Usage/Application,Depend on the project
Machine Type,Depend on the project
Brand,Ashok Extrusion Tech Private Limited
Frequency,"50Hz"
Material,Stainless Steel
Automation Grade,Automatic
Capacity,"2 kg"
Input Voltage,"0.8w"
Usage/Application,Industrial Use
Operation Mode,Fully Automatic
Capacity,"150 kg per hour"
Frequency,Yes
Material,Stainless Steel
Power Source,Electericalfr
Installation Services,Yes
Country of Origin,Made in India
Installation Services,Yes
Brand,mech o tech llp
Power Source,electrical
Usage/Application,"Kalmegh extract manufacturing , Ayurvedic and herbal medicine processing ,I mmunity-booster extract"
Voltage,"415v"
Installation Services,Yes
Power Source,electrical
Voltage,"415v"
Usage/Application,"Andrographis extract manufacturing, Herbal medicine & Ayurvedic formulation units, Nutraceutical and"
Country of Origin,Made in India
Brand,mech o tech llp
Power Source,Electrical
Voltage,"415 v"
Installation Services,Yes
Brand,Mech O Tech LLP
Usage/Application,"Annatto seed cleaning and pre-processing, Natural color extraction industry, Spice processing units"
Brand,mech o tech llp
Power Source,electrical
Country of Origin,Made in India
Voltage,"415v"
Usage/Application,"Ayurvedic medicine manufacturing, Herbal supplement and nutraceutical production, Botanical & phytoc"
Installation Services,Yes
Voltage,"415 v"
Country of Origin,Made in India
Installation Services,Yes
Power Source,Electrical
Usage/Application,"Natural food color extraction and production, Herbal and botanical pigment manufacturing"
Brand,Mech O Tech LLP
Automation Grade,Semi Automatic
Usage/Application,"Ayurvedic & herbal medicine extraction, Nutraceutical raw material production"
Voltage,"415 v"
Installation Services,Yes
Country of Origin,Made in India
Frequency,Yes
Material,Stainless Steel
Power Source,Electrical
Voltage,"415 v"
Installation Services,Yes
Brand,Mech O Tech LLP
Power Source,Electrical
Usage/Application,"Extraction of Annatto pigments (Bixin & Norbixin), Herbal and botanical extract production"
Voltage,"415 v"
Installation Services,Yes
Brand,Mech O Tech LLP
Power Source,Electrical
Usage/Application,"•	Industrial-scale extraction of Annatto pigments and oleoresins, Natural food color product[on"
Country of Origin,Made in India
Usage/Application,"Botanical extract manufacturing , Ayurvedic & herbal extract production , Phytochemical processing u"
Power Source,electrical
Voltage,"415v"
Installation Services,Yes
Brand,mech o tech llp
Voltage,"415 v"
Installation Services,Yes
Country of Origin,Made in India
Automation Grade,Semi Automatic
Frequency,Yes
Usage/Application,"Extraction of herbal bioactive compounds and essential oils, Production of herbal medicines"
Material,Stainless Steel
Power Source,Electrical
Voltage,"415v"
Country of Origin,Made in India
Power Source,electrical
Usage/Application,"Ayurvedic & herbal medicine production ,Nutraceutical & health supplement manufacturing , Phytochemi"
Installation Services,Yes
Brand,mech o tech llp
Brand,mech o tech llp
Power Source,electrial
Usage/Application,"Andrographis leaf extract manufacturing ,  Kalmegh extract processing , Herbal immunity booster extr"
Country of Origin,Made in India
Installation Services,Yes
Voltage,"415v"
Usage/Application,"Ayurvedic & herbal extract manufacturing, Phytochemical and botanical extraction units, Nutraceutica"
Installation Services,Yes
Brand,mech o tech llp
Power Source,electrical
Country of Origin,Made in India
Voltage,"415v"
Usage/Application,"Ayurvedic and herbal medicine manufacturing, Botanical and phytochemical extract production, Nutrace"
Country of Origin,Made in India
Installation Services,Yes
Voltage,"415v"
Brand,mech o tech llp
Power Source,electrical
Voltage,"415v"
Brand,mech o tech llp
Usage/Application,"Ayurvedic & herbal extract manufacturing, Botanical & phytochemical processing, Nutraceutical ingred"
Country of Origin,Made in India
Installation Services,Yes
Power Source,electrical
Voltage,"380V"
Usage/Application,Extraction of Copper From Its Ore
Brand,Noble Engineering
Machine Type,Automatic
Power Source,Electric
Automation Grade,Automatic
Automation Grade,Automatic
Automation Grade,Semi Automatic
Installation Services,Yes
Usage/Application,MEDICINE
Automation Grade,Semi Automatic
Installation Services,Yes
Power Source,"60 HP"
Frequency,"50 Hz"
Material,Stainless Steel
Power Source,Electric
Voltage,"380 V"
Country of Origin,Made in India
Phase,Three Phase
Automation Grade,Semi Automatic
Phase,Three phase
Installation Services,Yes
Brand,REW
Design Type,VERTICAL
Power Source,"60 HP"
Installation Services,Yes
Automation Grade,Semi Automatic
Machine Type,EXTRACTOR
Country of Origin,Made in India
Installation Services,Yes
Capacity,"100 KG"
Country of Origin,Made in India
Country of Origin,Made in India
Voltage,"440volt"
Production Capacity,"400 kg/hr"
Country of Origin,Made in India
Frequency,"60 Hz"
Machine Power (kW),"100 kW"
Voltage,"415V"
Brand,SDE
Sheet Thickness,"3mm to 25mm"
Power,"220v"
Motor Power,"2 HP"
Phase,"Single Phase,3 Phase"
Installation Services,Yes
Material,PP Material
Body Material,PP
Automation Grade,Automatic
Country of Origin,Made in India
Installation Services,Yes
Purity,"999.9%"
Automation Grade,Automatic
Material,Ms
Country of Origin,Made in India
Country of Origin,Made in India
Automation Grade,Automatic
Feed Type,Wet Type
Brand,Unitech
Automation Grade,Automatic
Voltage,"380 V"
Die Diameter,"50 mm"
Phase,Three Phase
Screw L D Ratio,"24 1"
Voltage,"440 V"
Phase,Three Phase
Screw L D Ratio,"24 1"
Voltage,"440 V"
Phase,Three Phase
Automation Grade,Manual
Automation Grade,Automatic
Brand,HPEL
Body Material,SS
Phase,Single Phase
Automation Grade,Automatic
Usage/Application,Industrial
Machine Type,Three layer cable Extruder
Machine Power (kW),"250 kW"
Frequency,"150Hz"
Colour,Silver and Red
Display,No Display
Material,Mild steel
Voltage,"220v to 420v"
Power source,Fuel and electricity
Type,Portable
Grade,Automatic
Application,Purification
Voltage,"220 V"
Model,TJ-750D
Roller length,"900mm"
Weight,"85"
Type,New
Usage/Application,Industrial
Frequency,"50 HZ"
Brand,Harini
Model Name/Number,Aquamat 10.1
Diameter,"500"
Orientation,Vertical
Capacity,"5kg/13min"
Capacity,"150kg per hour"
Power Consumption,"50hp"
Machine Type,SS
Type,Fully Automatic
Capacity,"2500kg"
Brand,MEDH
Type Of Testing Machines,CIVIL
Frequency,"50 HZ"
Capacity,"6tpd"
Usage/Application,Chemical
Number Of Filling Heads,"1"
Air Consumption,"6 kg"
Filling System,Fully Automatic
Usage/Application,As per requirement
Automation Grade,Automatic
Material,PVDF
Usage/Application,Industrial
Capacity,"80 -150 Kg/Hr"
Machine Type,Full Automatic
Usage/Application,Industrial
Frequency,"50 -60 Hz"
Capacity,"50 to 100 Kg/hr"
Machine Type,Twin Extruder Machine
Capacity,"26/36/48"
Type,Pipe Extruder
Usage/Application,Industrial
Machine Type,Continuous Extrusion Machine
Frequency,"50Hz"
Frequency,"60 Hz"
Brand,Elshaddai
Machine Power (kW),"60 kW"
Bag Material,Plastic
Material,Mild Steel
Capacity,"50TPD - 1000 TPD"
Capacity,Up to 5kg
Capacity,"0.2-100 t/h"
Plastic Processed,PVC Pipe
Material,"Stainless Steel, Mild Steel"
Brand,GOYUM
Capacity,Starting from 50 tons/day
Brand,BOTICS
Machine Type,Twin Screw Extruder
Brand,Innotech Machines
Type,Fully Automatic
Material To Be Extruded,Plastic
Usage/Application,Noodle Making
Material To Be Extruded,GPPS
Type,Fully Automatic
Capacity,depends on material
Material,"PVC,LD,PP,ABS,NYLON,HDPE,PET,PC ALL TYPE OF MATERIAL"
Brand,Seiko
Production Capacity,Customized
Brand,Hyway
Brand,Steer
Type,Extruder Machine
Frequency,"50 Hz"
Material,Iron
Type,Pipe Extruder
Material,HDPE
Capacity,"300 mm - 2000 mm"
Automation Grade,Automatic
Type,Fully Automatic
Brand,VIKRANT INDUSTRIES
Material To Be Extruded,Aluminium
Capacity,"500 kg/hour"
Material,Stainless Steel
Capacity,"200 -10000"
Machine Power (kW),"80 kW"
Filling Material,As per requirement
Voltage,As per region and requirement
Phase,Single
Capacity,"1.5Litre"
Brand,Pemac Projects
Usage/Application,Industrial
Type,Fully Automatic
Phase,Three Phase
Type,Fully Automatic
Capacity,"150ton/hour"
Frequency,"50Hz"
Machine Type,Blown Film Extrusion Machine
Brand,MEDH
Material To Be Extruded,Plastic
Capacity,"250 kg/hr"
Automation Grade,Automatic
Type,Fully Automatic
Brand,C & G
Usage/Application,Industrial
Material,Stainless Steel
Packaging Type,Wooden box
Type Of Testing Machines,Bitumen Testing
Capacity,"1500 gm"
Capacity,"60000l/h"
Frequency,"50hz"
Automation Grade,Semi-Automatic
Drive Motor,"1440 RPM"
Capacity,"1-5 ton/day"
Machine Type,on request
Packaging Type,on request
Capacity,depends on material
Capacity,"10 x 3 = 30 packages"
Automation Grade,Automatic
Material,MS
Material,Mild Steel
Frequency,"50"
Material To Be Extruded,Plastic
Capacity,"300 kgs"
Type Of Testing Machines,Bitumen Testing
Capacity,"28 - 280 ( kg/hr )"
Machine Type,Mono Layer Blown Film Machine
Production Capacity,"28 - 280 ( kg/hr )"
Production Capacity,"28 - 280 ( kg/hr )"
Production Capacity,"28 - 280 ( kg/hr )"
Usage/Application,Industrial
Material to be Extruded,PVC
Body Material,Mild Steel
Capacity,"50 - 200 kg/Hr"
Type Of Testing Machines,Bitumen Extractor
Finishing,Premium Quality Paint
Material,MS
Automation Grade,Automatic
Frequency,"50 Hz"
Capacity,"1 Ton"
Automation Grade,Automatic
Screw Number,"2"
Frequency,on request
Usage/Application,Industrial
Capacity,"20 Ton/Day"
Brand,Adroit
Material To Be Extruded,ABC Film
Frequency,"50/60 Hz"
Drive Motor,three phase electric motor
Type,Fully Automatic
Capacity,"220/min"
Material,MS & SS
Capacity,"5000 Litre"
Type,New
Capacity,"3 Tons Oil Seeds Per Day"
Brand,Sparktech
Phase,"3 PHASE"
Screw Design,TWIN
Material To Be Extruded,Plastic
Frequency,ABB OR FUJI
Industry Type,Hospital
Material,MS/SS/Rubber Line/Hallar etc
Material To Be Extruded,PVC
Capacity,"100-150 Kg/Hr"
Phase,Single Phase
Material,Cast Iron
Usage/Application,Caprolactam Extraction
Usage/Application,"Pe,Ldpe,Lldpe,Hdpe,Hm-Hdpe,Mdpe,Mlldpe,Metallocene,Polyethylene,Polypropylene,Eva,Pvoh/Pa"
Capacity,"120 Kg"
Material,Biodegradable
Machine Type,Solvent extraction
Capacity,"1.5 ltr"
Automation Grade,Automatic
Type,Fully Automatic
Usage/Application,Industrial
Usage/Application,Industrial
Material,MS
Capacity,"1.5 Liter"
Type Of Testing Machines,Bitumen Test
Phase,Single Phase
Machine Type,extruder machine
Plastic Processed,"Pvc, pp, hdpe, ldpe"
Capacity,"25 - 80 ( kg/hr )"
Brand,Aasabi
Capacity,"0.5 - 5 kg/hr"
Power Consumption,"146 - 194 ( kw )"
Material To Be Extruded,Plastic
Material,HDPE
Capacity,"1000g~1500g"
Capacity,"1200 kg Per hour"
Capacity,"1500g"
Capacity,"10"
Material,Mild Steel
Usage/Application,Industrial
Type,Fully Automatic
Capacity,"2 kg"
Capacity,"15-200 Kgs"
Automation Grade,Semi-Automatic
Usage/Application,Industrial
Capacity,"15 TPH"
Automation Grade,Automatic
Frequency,"50hz"
Brand,Famsun
Capacity,"20 TPH"
Phase,Three Phase
Frequency,"50hz"
Capacity,"5 Kg"
Material,Stainless Steel
Automation Grade,Standard
Screw Number,Standard
Usage/Application,Grocery
Capacity,"10Ltr"
Industry Type,All
Industry Type,all
Capacity,"12 kg"
Material,stenless steel
Material,Mild Steel
Capacity,"70-100 TPD"
Machine Type,Industrial
Usage/Application,Industrial
Type,Plastic Recycling Machine
Film Width,"1000 mm"
Screw Diameter,"55 mm"
Extraction Method,Solvent
Power Source,Electrical
Automation Grade,Semi Automatic
Extraction Method,Solvent
Automation Grade,Semi Automatic
Automation Grade,Semi Automatic
Power Source,Electrical
Automation Grade,Automatic
Voltage,"415 V"
Automation Grade,Automatic
Material,Stainless Steel
Phase,Single
Material Capability,Gold and Silver
Automation Grade,Fully Automatic
Phase,"1 Phase"
Material Capability,Gold and Silver
Automation Grade,Fully Automatic
Phase,Single
Material Capability,Gold and Silver
Power Source,Electric
Machine Type,Continuous Type
Automation Grade,Automatic
Motor Power,"18.5 kW"
Brand,Vtech
Motor Power,"11 kW"
Screw Diameter,"35 mm"
Motor Power,"11 kW"
Screw Diameter,"35 mm"
Screw Diameter,"25 mm"
Motor Power,"11 kW"
Production Capacity,"50 kg/hr"
Brand,ASPL
Industry Type,Industrial
Material,SS
Automation Grade,PLC Base
Automation Grade,"Fully automatic, Semi automatic"
Usage/Application,Industrial
Machine Power (kW),"40 kW"
Frequency,"50Hz"
Machine Power (kW),"20 kW"
Type,Pipe Extruder
Frequency,"50Hz"
Usage/Application,Industrial
Application,"LD Foam Film Benner, LD Foam Wed, LD Foam Liner "
Material Processed,LDPE
Material Processed,LLDPE
Material Processed,HDPE
Layer Type,Mono Layer
Automation Grade,Automatic
Capacity,Costumized
Usage/Application,Industrial
Machine Type,Automatic
Machine Type,Semi Automatic
Automation Grade,Automatic
Usage/Application,Industrial
Usage/Application,Industrial
Power,"2 kW"
Brand,Rajesh Enterprises
Production Capacity,"50 kg"
Brand,Rajesh Enterprises
Automation Grade,Semi Automatic
Material,SS 304
Automation Grade,Automatic
Frequency,"50Hz"
Application,PVC
Screw Type,Conical
Automation Grade,Semi Automatic
Automation Grade,Semi Automatic
Machine Type,Twin Screw
Voltage,"415 V"
Temperature,"200 Degree C"
Usage/Application,Extraction & Solvent Recovery
Installation Services,Yes
Brand,ASPL
Pressure,Vacuum
Country of Origin,Made in India
Frequency,"50 Hz"
Usage/Application,"Cosmetics, Pharmaceuticals"
Voltage,"400 V"
Installation Services,Yes
Material,Stainless Steel
Installation Services,Yes
Brand,ARKChem
Voltage,"220 V"
Phase,Three Phase
Automation Grade,Semi automatic
Automation Grade,Semi Automatic
Installation Services,Yes
