Query,Key Match Count,Value Match Count,GT Unique Keys,Gemini Unique Keys,GT Unique Values,Gemini Unique Values,Key Match %,Value Match %,GT: Value - Keys (by priority),Gemini: Value - Keys (by priority),Matched Keys,Matched Values,GT Only Keys,Gemini Only Keys
motor starter spark,1,0,4,4,2,2,25.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,motor starter - product_type | type |||| spark - brand | manufacturer,product type,,application | motor type | use,brand | manufacturer | type
motor-armature,0,0,2,3,1,1,0.0%,0.0%,motor - motor_type | product_type,motor-armature - part_type | component | spare_part,,,motor type | product type,component | part type | spare part
motorized pulley drum motor,1,0,2,4,1,2,50.0%,0.0%,motor - motor_type | product_type,motorized pulley - product_type | type |||| drum motor - synonym | alt_name,product type,,motor type,alt name | synonym | type
my cool star,0,0,0,0,0,0,N/A,N/A,,,,,,
nema 17 0.9 degree,0,0,2,4,1,2,0.0%,0.0%,nema - product_category | category,nema 17 - size | nema_size |||| 0.9 degree - step_angle | angle,,,category | product category,angle | nema size | size | step angle
nema 17 0.9 degree 22mm lenth,0,0,2,6,1,3,0.0%,0.0%,nema - product_category | category,nema 17 - size | nema_size |||| 0.9 degree - step_angle | angle |||| 22mm - length | body_length,,,category | product category,angle | body length | length | nema size | size | step angle
ng80,0,0,0,3,0,1,N/A,N/A,,ng80 - frame_size | size | frame,,,,frame | frame size | size
noortepar manufacturing plant,2,1,3,4,1,2,66.7%,100.0%,noortepar - brand | manufacturer | company,noortepar - company | brand |||| manufacturing plant - business_type | facility_type,brand | company,noortepar,manufacturer,business type | facility type
nord gearbox spares,3,1,5,6,2,3,60.0%,50.0%,nord - brand | manufacturer | company |||| gear box - product_category | category,nord - brand | manufacturer |||| gearbox - product_type | component |||| spares - category | type,brand | category | manufacturer,nord,company | product category,component | product type | type
oil-filled 3 hp 25 single phase motor starter,4,2,9,10,4,5,44.4%,50.0%,motor - motor_type | product_type |||| 3 hp - power | horsepower | hp |||| single phase - phase | supply_phase |||| starter - application | use,oil-filled - type | starter_type |||| 3 hp - horsepower | power |||| 25 - current | amperage |||| single phase - phase | phase_type |||| motor starter - product_type | category,horsepower | phase | power | product type,3 hp | single phase,application | hp | motor type | supply phase | use,amperage | category | current | phase type | starter type | type
ola motor,1,1,4,3,2,2,25.0%,50.0%,motor - motor_type | product_type |||| automotive - application | use,ola - brand | manufacturer |||| motor - motor_type,motor type,motor,application | product type | use,brand | manufacturer
panasonic gar box,1,1,3,4,1,2,33.3%,100.0%,panasonic - brand | manufacturer | company,panasonic - brand |||| gear box - product_type | category | component,brand,panasonic,company | manufacturer,category | component | product type
panasonic gear box MY9G30B,2,2,5,5,2,3,40.0%,100.0%,panasonic - brand | manufacturer | company |||| gear box - product_category | category,panasonic - brand |||| gear box - product_type | category |||| MY9G30B - model_number | part_number,brand | category,gear box | panasonic,company | manufacturer | product category,model number | part number | product type
panasonic-ac-servo-motor,2,1,7,4,3,2,28.6%,33.3%,panasonic - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| ac - current_type | supply_type,panasonic - brand |||| ac servo motor - motor_type | servo | type,brand | motor type,panasonic,company | current type | manufacturer | product type | supply type,servo | type
parallel shaft helical geard motor,1,0,2,6,1,3,50.0%,0.0%,motor - motor_type | product_type,helical - gear_type | gearing |||| parallel shaft - shaft_arrangement | mounting |||| geard motor - motor_type | gear_motor,motor type,,product type,gear motor | gear type | gearing | mounting | shaft arrangement
parker hydraulic motor,3,1,5,4,2,2,60.0%,50.0%,parker - brand | manufacturer | company |||| motor - motor_type | product_type,parker - brand | manufacturer |||| hydraulic motor - motor_type | type,brand | manufacturer | motor type,parker,company | product type,type
partition frames for motor,1,1,2,4,1,2,50.0%,100.0%,motor - motor_type | product_type,partition frames - product_type | component |||| motor - application | compatibility,product type,motor,motor type,application | compatibility | component
pbl-right-angled-helical-bevel-geared-motor,4,1,5,8,2,4,80.0%,50.0%,pbl - brand | manufacturer | company |||| gear motor - motor_type | product_type,pbl - brand | manufacturer |||| helical-bevel - gear_type | type |||| right-angled - orientation | mounting |||| geared motor - motor_type | product_type,brand | manufacturer | motor type | product type,pbl,company,gear type | mounting | orientation | type
peco pk1 3 phase dol motor starter,2,0,6,10,3,5,33.3%,0.0%,motor - motor_type | product_type |||| three phase - phase | supply_phase |||| starter - application | use,peco - brand | manufacturer |||| pk1 - model | series |||| 3 phase - phase | phase_type |||| dol - starter_type | type |||| motor starter - product_type | category,phase | product type,,application | motor type | supply phase | use,brand | category | manufacturer | model | phase type | series | starter type | type
pmdc gear motor 0-25-hp 25-200rpm 12-180volt,4,0,7,8,3,4,57.1%,0.0%,gear motor - motor_type | product_type |||| 180v - voltage | supply_voltage |||| 200 rpm - speed | rpm | rated_speed,pmdc gear motor - motor_type | type |||| 0-25-hp - horsepower | power |||| 25-200rpm - rpm | speed |||| 12-180volt - voltage | volt,motor type | rpm | speed | voltage,,product type | rated speed | supply voltage,horsepower | power | type | volt
polisher-motor,1,0,2,3,1,1,50.0%,0.0%,motor - motor_type | product_type,polisher-motor - application | motor_type | use,motor type,,product type,application | use
power tool cm4,1,1,2,5,1,2,50.0%,100.0%,power tool - product_category | category,power tool - category | product_type |||| cm4 - model | size | taper,category,power tool,product category,model | product type | size | taper
power tool near delhi cm4,1,1,2,6,1,3,50.0%,100.0%,power tool - product_category | category,power tool - product_type | category |||| delhi - location | city |||| cm4 - model | model_number,category,power tool,product category,city | location | model | model number | product type
power-tool-carbon-brush,2,0,4,4,2,2,50.0%,0.0%,automotive - application | use |||| brush - product_category | category,carbon brush - product_type | component |||| power tool - application | use,application | use,,category | product category,component | product type
pump-starter,1,1,4,3,2,2,25.0%,50.0%,pump - application | use |||| starter - application | use |||| starter - product_category | category,pump-starter - product_type | type |||| pump - application,application,pump,category | product category | use,product type | type
push button shutter motor,1,0,2,4,1,2,50.0%,0.0%,motor - motor_type | product_type,push button - operation | control |||| shutter motor - application | motor_type,motor type,,product type,application | control | operation
reverse forward 3 phase 20 3 hp starters,3,1,7,8,3,4,42.9%,33.3%,3 hp - power | horsepower | hp |||| three phase - phase | supply_phase |||| starter - application | use,reverse forward - starter_type | operation |||| 3 phase - phase | phase_type |||| 3 hp - horsepower | power |||| starters - product_type | category,horsepower | phase | power,3 hp,application | hp | supply phase | use,category | operation | phase type | product type | starter type
rexroth servo drive,0,0,2,5,1,2,0.0%,0.0%,drive - product_category | category,rexroth - brand | manufacturer |||| servo drive - product_type | type | drive_type,,,category | product category,brand | drive type | manufacturer | product type | type
rotex positioner,1,0,4,4,1,2,25.0%,0.0%,actuator - application | use |||| actuator - product_category | category,rotex - brand | manufacturer |||| positioner - product_type | category,category,,application | product category | use,brand | manufacturer | product type
rs 555 high speed dc motor 5000rpm,3,1,7,8,3,4,42.9%,33.3%,dc motor - motor_type | product_type |||| 5000 rpm - speed | rpm | rated_speed |||| dc - current_type | supply_type,rs 555 - model | model_number |||| high speed - feature | speed_type |||| dc motor - motor_type | dc |||| 5000rpm - rpm | speed,motor type | rpm | speed,dc motor,current type | product type | rated speed | supply type,dc | feature | model | model number | speed type
schneider soft starter,3,0,7,5,2,2,42.9%,0.0%,schneider electric - brand | manufacturer | company |||| starter - application | use |||| starter - product_category | category,schneider - brand | manufacturer |||| soft starter - product_type | type | category,brand | category | manufacturer,,application | company | product category | use,product type | type
schubert and salzer positioner,0,0,4,4,1,2,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,schubert and salzer - brand | manufacturer |||| positioner - product_type | type,,,application | category | product category | use,brand | manufacturer | product type | type
screed vibrator motor,1,0,2,3,1,2,50.0%,0.0%,vibrator motor - motor_type | product_type,screed vibrator - application | type |||| motor - motor_type,motor type,,product type,application | type
seedprod latest version,0,0,0,4,0,2,N/A,N/A,,seedprod - product_name | brand |||| latest version - version | release,,,,brand | product name | release | version
sensor plate,1,0,2,3,2,1,50.0%,0.0%,sensor - product_category | category |||| motor plate - product_category | category,sensor plate - product_type | type | category,category,,product category,product type | type
servo motor .,1,1,2,2,1,1,50.0%,100.0%,servo motor - motor_type | product_type,servo motor - motor_type | servo,motor type,servo motor,product type,servo
servo motors repairs,1,0,2,4,1,2,50.0%,0.0%,servo motor - motor_type | product_type,repairs - service_type | service |||| servo motors - product_category | motor_type,motor type,,product type,product category | service | service type
sewing-machine-motor-armature,0,0,5,4,2,2,0.0%,0.0%,sew - brand | manufacturer | company |||| motor - motor_type | product_type,armature - part_type | component |||| sewing machine motor - application | use,,,brand | company | manufacturer | motor type | product type,application | component | part type | use
shaded pole motors with fan,1,1,4,4,2,2,25.0%,50.0%,shaded pole motor - motor_type | product_type |||| fan - application | use,shaded pole motors - motor_type | type |||| fan - feature | accessory,motor type,fan,application | product type | use,accessory | feature | type
shaded+pole+motors,1,0,2,3,1,1,50.0%,0.0%,shaded pole motor - motor_type | product_type,shaded pole motors - motor_type | induction_motor | type,motor type,,product type,induction motor | type
