Query,Key Match Count,Value Match Count,GT Unique Keys,QMeans Unique Keys,GT Unique Values,QMeans Unique Values,Key Match %,Value Match %,GT: Value - Keys (by priority),QMeans: Value - Keys (by priority),Matched Keys,Matched Values,GT Only Keys,QMeans Only Keys
kirloskar electric motor 10 hp 960 rpm,2,3,11,4,4,4,18.2%,75.0%,kirloskar - brand | manufacturer | company |||| motor - motor_type | product_type |||| 10 hp - power | horsepower | hp |||| 960 rpm - speed | rpm | rated_speed,10 hp - motor horsepower |||| 960 rpm - speed |||| electric - power source |||| kirloskar - brand,brand | speed,10 hp | 960 rpm | kirloskar,company | horsepower | hp | manufacturer | motor type | power | product type | rated speed | rpm,motor horsepower | power source
kitchen hood motor,0,0,2,1,1,1,0.0%,0.0%,motor - motor_type | product_type,kitchen - usage,,,motor type | product type,usage
kollmorgen servo motors akm63k-anc2r-00,0,0,2,3,1,3,0.0%,0.0%,servo motor - motor_type | product_type,akm63k-anc2r-00 - model name/number |||| kollmorgen - brand |||| servo - usage,,,motor type | product type,brand | model name/number | usage
l and t mpower pro mobile motor starter,0,0,4,3,2,3,0.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,l and t - brand |||| motor starter - usage |||| mpower pro - model name/number,,,application | motor type | product type | use,brand | model name/number | usage
l t mpower pro mobile motor starter,0,0,4,2,2,2,0.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,l t - brand |||| motor starter - usage,,,application | motor type | product type | use,brand | usage
l&t three phase motor starter,2,2,9,3,4,3,22.2%,50.0%,l&t - brand | manufacturer | company |||| motor - motor_type | product_type |||| three phase - phase | supply_phase |||| starter - application | use,l&t - brand |||| motor starter - usage |||| three phase - phase,brand | phase,l&t | three phase,application | company | manufacturer | motor type | product type | supply phase | use,usage
laxmi 3 hp singal fase motors,1,1,5,2,2,2,20.0%,50.0%,motor - motor_type | product_type |||| 3 hp - power | horsepower | hp,3 hp - power |||| laxmi - brand,power,3 hp,horsepower | hp | motor type | product type,brand
leadshine l7 series servo ac servo motor,1,1,4,2,2,2,25.0%,50.0%,servo motor - motor_type | product_type |||| ac - current_type | supply_type,ac - motor type |||| leadshine - brand,motor type,ac,current type | product type | supply type,brand
lift-motor,0,0,4,0,2,0,0.0%,0.0%,motor - motor_type | product_type |||| elevator - application | use,,,,application | motor type | product type | use,
lifting-column-actuator,0,0,4,0,2,0,0.0%,0.0%,elevator - application | use |||| actuator - application | use |||| actuator - product_category | category,,,,application | category | product category | use,
linear 1 festo actuators,0,0,4,2,1,2,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,1 - model name/number |||| festo - brand,,,application | category | product category | use,brand | model name/number
linear actuator control board,0,0,4,0,1,0,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,,,,application | category | product category | use,
linear actuator purlin,0,0,4,1,1,1,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,linear - valve motion,,,application | category | product category | use,valve motion
linear-actuators,0,0,4,0,1,0,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,,,,application | category | product category | use,
ll braider soft starer,0,0,4,0,2,0,0.0%,0.0%,textile - application | use |||| starter - application | use |||| starter - product_category | category,,,,application | category | product category | use,
lt mk1 dol motor starter,0,0,4,2,2,2,0.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,dol - starter type |||| motor starter - usage,,,application | motor type | product type | use,starter type | usage
lubi three phase induction motors,2,2,7,3,3,3,28.6%,66.7%,lubi - brand | manufacturer | company |||| induction motor - motor_type | product_type |||| three phase - phase | supply_phase,induction - motor type |||| lubi - brand |||| three phase - no of phase,brand | motor type,lubi | three phase,company | manufacturer | phase | product type | supply phase,no of phase
m9mz90g4yga panasonic gear motor /90watt/ three phase,3,3,9,4,4,4,33.3%,75.0%,panasonic - brand | manufacturer | company |||| gear motor - motor_type | product_type |||| 90 w - power | wattage |||| three phase - phase | supply_phase,gear motor - motor type |||| m9mz90g4yga - model name/number |||| panasonic - brand |||| three phase - phase,brand | motor type | phase,gear motor | panasonic | three phase,company | manufacturer | power | product type | supply phase | wattage,model name/number
macwel brand motor,0,1,2,2,1,2,0.0%,100.0%,motor - motor_type | product_type,macwel - brand |||| motor - part type,,motor,motor type | product type,brand | part type
macwell brand motor,0,1,2,2,1,2,0.0%,100.0%,motor - motor_type | product_type,macwell - brand |||| motor - part type,,motor,motor type | product type,brand | part type
makita mt240 cb203a cut off carbon brush,0,0,7,2,3,2,0.0%,0.0%,mak - brand | manufacturer | company |||| automotive - application | use |||| brush - product_category | category,cut off carbon brush - type |||| mt240 cb203a - brush no.,,,application | brand | category | company | manufacturer | product category | use,brush no. | type
mgm brake motors,1,0,2,2,1,2,50.0%,0.0%,brake motor - motor_type | product_type,brake - motor type |||| mgm - brand,motor type,,product type,brand
mig pmdc motor 24v 42v,2,0,4,2,3,2,50.0%,0.0%,dc motor - motor_type | product_type |||| 24v - voltage | supply_voltage |||| 42v - voltage | supply_voltage,24v 42v - voltage |||| pmdc - motor type,motor type | voltage,,product type | supply voltage,
mil 37 38 diaphragm actuators,0,0,4,2,1,2,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,diaphragm - actuator type |||| mil 37 38 - model name/number,,,application | category | product category | use,actuator type | model name/number
mini motors,0,0,2,1,1,1,0.0%,0.0%,motor - motor_type | product_type,mini - size,,,motor type | product type,size
mixer-grinder-motor,0,0,4,0,2,0,0.0%,0.0%,motor - motor_type | product_type |||| mixer - application | use,,,,application | motor type | product type | use,
motor for toto,0,1,2,1,1,1,0.0%,100.0%,motor - motor_type | product_type,motor - part type,,motor,motor type | product type,part type
motor panvel,0,0,2,0,1,0,0.0%,0.0%,motor - motor_type | product_type,,,,motor type | product type,
motor protection cover,0,0,2,1,1,1,0.0%,0.0%,motor - motor_type | product_type,motor protection - usage,,,motor type | product type,usage
motor starter controller,0,0,4,1,2,1,0.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,motor starter - usage,,,application | motor type | product type | use,usage
motor starter spark,0,0,4,1,2,1,0.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,motor starter - usage,,,application | motor type | product type | use,usage
motor-armature,0,0,2,1,1,1,0.0%,0.0%,motor - motor_type | product_type,motor-armature - part type,,,motor type | product type,part type
motorized pulley drum motor,1,0,2,1,1,1,50.0%,0.0%,motor - motor_type | product_type,drum motor - motor type,motor type,,product type,
my cool star,0,0,0,1,0,1,N/A,N/A,,star - shape,,,,shape
nema 17 0.9 degree,0,0,2,0,1,0,0.0%,0.0%,nema - product_category | category,,,,category | product category,
nema 17 0.9 degree 22mm lenth,0,0,2,2,1,2,0.0%,0.0%,nema - product_category | category,22mm - size |||| nema 17 - model name/number,,,category | product category,model name/number | size
ng80,0,0,0,0,0,0,N/A,N/A,,,,,,
noortepar manufacturing plant,0,0,3,0,1,0,0.0%,0.0%,noortepar - brand | manufacturer | company,,,,brand | company | manufacturer,
nord gearbox spares,1,1,5,2,2,2,20.0%,50.0%,nord - brand | manufacturer | company |||| gear box - product_category | category,gearbox spares - product |||| nord - brand,brand,nord,category | company | manufacturer | product category,product
oil-filled 3 hp 25 single phase motor starter,2,2,9,3,4,3,22.2%,50.0%,motor - motor_type | product_type |||| 3 hp - power | horsepower | hp |||| single phase - phase | supply_phase |||| starter - application | use,3 hp - power |||| motor starter - usage |||| single phase - phase,phase | power,3 hp | single phase,application | horsepower | hp | motor type | product type | supply phase | use,usage
ola motor,0,1,4,2,2,2,0.0%,50.0%,motor - motor_type | product_type |||| automotive - application | use,motor - part type |||| ola - brand,,motor,application | motor type | product type | use,brand | part type
panasonic gar box,1,1,3,2,1,2,33.3%,100.0%,panasonic - brand | manufacturer | company,box - packaging type |||| panasonic - brand,brand,panasonic,company | manufacturer,packaging type
panasonic gear box MY9G30B,1,1,5,2,2,2,20.0%,50.0%,panasonic - brand | manufacturer | company |||| gear box - product_category | category,my9g30b - model name/number |||| panasonic - brand,brand,panasonic,category | company | manufacturer | product category,model name/number
panasonic-ac-servo-motor,0,0,7,0,3,0,0.0%,0.0%,panasonic - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| ac - current_type | supply_type,,,,brand | company | current type | manufacturer | motor type | product type | supply type,
parallel shaft helical geard motor,1,0,2,2,1,2,50.0%,0.0%,motor - motor_type | product_type,helical - motor type |||| parallel - orientation,motor type,,product type,orientation
parker hydraulic motor,1,1,5,2,2,2,20.0%,50.0%,parker - brand | manufacturer | company |||| motor - motor_type | product_type,hydraulic motor - type |||| parker - brand,brand,parker,company | manufacturer | motor type | product type,type
partition frames for motor,0,1,2,2,1,2,0.0%,100.0%,motor - motor_type | product_type,motor - usage |||| partition frames - motor part type,,motor,motor type | product type,motor part type | usage
pbl-right-angled-helical-bevel-geared-motor,0,0,5,0,2,0,0.0%,0.0%,pbl - brand | manufacturer | company |||| gear motor - motor_type | product_type,,,,brand | company | manufacturer | motor type | product type,
peco pk1 3 phase dol motor starter,1,0,6,3,3,3,16.7%,0.0%,motor - motor_type | product_type |||| three phase - phase | supply_phase |||| starter - application | use,3 phase - phase |||| dol - starter type |||| peco - brand,phase,,application | motor type | product type | supply phase | use,brand | starter type
pmdc gear motor 0-25-hp 25-200rpm 12-180volt,3,0,7,4,3,4,42.9%,0.0%,gear motor - motor_type | product_type |||| 180v - voltage | supply_voltage |||| 200 rpm - speed | rpm | rated_speed,0-25-hp - power |||| 12-180volt - voltage |||| 25-200rpm - speed |||| pmdc gear motor - motor type,motor type | speed | voltage,,product type | rated speed | rpm | supply voltage,power
polisher-motor,0,0,2,1,1,1,0.0%,0.0%,motor - motor_type | product_type,polisher-motor - type of power tool,,,motor type | product type,type of power tool
power tool cm4,0,0,2,1,1,1,0.0%,0.0%,power tool - product_category | category,cm4 - model,,,category | product category,model
power tool near delhi cm4,0,0,2,0,1,0,0.0%,0.0%,power tool - product_category | category,,,,category | product category,
power-tool-carbon-brush,0,0,4,0,2,0,0.0%,0.0%,automotive - application | use |||| brush - product_category | category,,,,application | category | product category | use,
pump-starter,0,0,4,0,2,0,0.0%,0.0%,pump - application | use |||| starter - application | use |||| starter - product_category | category,,,,application | category | product category | use,
push button shutter motor,0,0,2,2,1,2,0.0%,0.0%,motor - motor_type | product_type,push button - switch type |||| shutter - usage,,,motor type | product type,switch type | usage
reverse forward 3 phase 20 3 hp starters,2,0,7,2,3,2,28.6%,0.0%,3 hp - power | horsepower | hp |||| three phase - phase | supply_phase |||| starter - application | use,3 phase - phase |||| hp - power,phase | power,,application | horsepower | hp | supply phase | use,
rexroth servo drive,0,0,2,1,1,1,0.0%,0.0%,drive - product_category | category,rexroth - brand,,,category | product category,brand
rotex positioner,0,0,4,2,1,2,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,positioner - type |||| rotex - brand,,,application | category | product category | use,brand | type
rs 555 high speed dc motor 5000rpm,2,1,7,3,3,3,28.6%,33.3%,dc motor - motor_type | product_type |||| 5000 rpm - speed | rpm | rated_speed |||| dc - current_type | supply_type,5000rpm - speed |||| dc - motor type |||| rs 555 - model name/number,motor type | speed,dc,current type | product type | rated speed | rpm | supply type,model name/number
schneider soft starter,1,0,7,2,2,2,14.3%,0.0%,schneider electric - brand | manufacturer | company |||| starter - application | use |||| starter - product_category | category,schneider - brand |||| soft starter - starter type,brand,,application | category | company | manufacturer | product category | use,starter type
schubert and salzer positioner,0,0,4,1,1,1,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,positioner - type,,,application | category | product category | use,type
